title,author,views,likes,link,month,year
"What is ""normal"" and what is ""different""?",Yana Buhrer Tavanier,459000,13000,https://ted.com/talks/yana_buhrer_tavanier_what_is_normal_and_what_is_different,February,2022
The ocean's ingenious climate solutions,Susan Ruffo,522000,15000,https://ted.com/talks/susan_ruffo_the_ocean_s_ingenious_climate_solutions,October,2021
How we're reducing the climate impact of electronics,Tim Dunn,96000,2900,https://ted.com/talks/tim_dunn_how_we_re_reducing_the_climate_impact_of_electronics,February,2022
A vibrant dance performance of funk classics, Let It Happen,4500,135,https://ted.com/talks/let_it_happen_a_vibrant_dance_performance_of_funk_classics,October,2021
"""Dive In""",Dave Matthews,1600,49,https://ted.com/talks/dave_matthews_dive_in,October,2021
Got millet? How marketing could improve the lives of African farmers,Zoë Karl-Waithaka,667000,20000,https://ted.com/talks/zoe_karl_waithaka_got_millet_how_marketing_could_improve_the_lives_of_african_farmers,September,2021
The myth of Gawain and the Green Knight,Dan Kwartler,456000,13000,https://ted.com/talks/dan_kwartler_the_myth_of_gawain_and_the_green_knight,February,2022
How wind energy could power Earth ... 18 times over,Dan Jørgensen,632000,18000,https://ted.com/talks/dan_jorgensen_how_wind_energy_could_power_earth_18_times_over,October,2021
The incredible cancer-detecting potential of photoacoustic imaging,Lei Li,97000,2900,https://ted.com/talks/lei_li_the_incredible_cancer_detecting_potential_of_photoacoustic_imaging,August,2021
How to fix two of the most broken systems in the US,Nick Turner and Whitney Pennington Rodgers,609000,18000,https://ted.com/talks/nick_turner_and_whitney_pennington_rodgers_how_to_fix_two_of_the_most_broken_systems_in_the_us,November,2021
Can you outsmart the fallacy that divided a nation?,Elizabeth Cox,363000,10000,https://ted.com/talks/elizabeth_cox_can_you_outsmart_the_fallacy_that_divided_a_nation,February,2022
Sex education should start with consent, Kaz,649000,19000,https://ted.com/talks/kaz_sex_education_should_start_with_consent,December,2021
Smart solutions to decarbonize buildings,Katie McGinty,134000,4000,https://ted.com/talks/katie_mcginty_smart_solutions_to_decarbonize_buildings,January,2022
How to provide cooling for everyone — without warming the planet,Rachel Kyte,613000,18000,https://ted.com/talks/rachel_kyte_how_to_provide_cooling_for_everyone_without_warming_the_planet,October,2021
The mind-bending art of deep time,Katie Paterson,817000,24000,https://ted.com/talks/katie_paterson_the_mind_bending_art_of_deep_time,December,2021
"The myth of Anansi, the trickster spider",Emily Zobel Marshall,411000,12000,https://ted.com/talks/emily_zobel_marshall_the_myth_of_anansi_the_trickster_spider,January,2022
 A different understanding of American patriotism,Deval Patrick,700000,21000,https://ted.com/talks/deval_patrick_a_different_understanding_of_american_patriotism,July,2021
4 ways to redefine power at work to include women of color,Rha Goddess and Deepa Purushothaman,678000,20000,https://ted.com/talks/rha_goddess_and_deepa_purushothaman_4_ways_to_redefine_power_at_work_to_include_women_of_color,December,2021
How to boost nature-based solutions to climate change,Zac Goldsmith,30000,913,https://ted.com/talks/zac_goldsmith_how_to_boost_nature_based_solutions_to_climate_change,October,2021
Which animal has the best eyesight?,Thomas W. Cronin,743000,22000,https://ted.com/talks/thomas_w_cronin_which_animal_has_the_best_eyesight,January,2022
The new reality of fashion is digital,Gala Marija Vrbanic,669000,20000,https://ted.com/talks/gala_marija_vrbanic_the_new_reality_of_fashion_is_digital,December,2021
Are brain waves the secret to treating Alzheimer's?,Li-Huei Tsai,766000,23000,https://ted.com/talks/li_huei_tsai_are_brain_waves_the_secret_to_treating_alzheimer_s,August,2021
What if women built the world they want to see?,Emily Pilloton-Lam,789000,23000,https://ted.com/talks/emily_pilloton_lam_what_if_women_built_the_world_they_want_to_see,December,2021
How to fix broken supply chains,Dustin Burke,800000,24000,https://ted.com/talks/dustin_burke_how_to_fix_broken_supply_chains,September,2021
Can you solve the birthday cake riddle?,Marie Brodsky,601000,18000,https://ted.com/talks/marie_brodsky_can_you_solve_the_birthday_cake_riddle,January,2022
What you need to know about carbon removal,Gabrielle Walker,732000,21000,https://ted.com/talks/gabrielle_walker_what_you_need_to_know_about_carbon_removal,October,2021
How radical hospitality can change the lives of the formerly incarcerated,Reuben Jonathan Miller,751000,22000,https://ted.com/talks/reuben_jonathan_miller_how_radical_hospitality_can_change_the_lives_of_the_formerly_incarcerated,November,2021
The tragic myth of the Sun God's son,Iseult Gillespie,998000,29000,https://ted.com/talks/iseult_gillespie_the_tragic_myth_of_the_sun_god_s_son,January,2022
"The unexpected, underwater plant fighting climate change",Carlos M. Duarte,786000,23000,https://ted.com/talks/carlos_m_duarte_the_unexpected_underwater_plant_fighting_climate_change,August,2021
How to break down barriers and not accept limits,Candace Parker,1000000,32000,https://ted.com/talks/candace_parker_how_to_break_down_barriers_and_not_accept_limits,December,2021
"""A Ride With Polly Jean"" / ""Ali Farka Touche""",Jenny Scheinman with Nels Cline and Todd Sickafoose,20000,606,https://ted.com/talks/jenny_scheinman_with_nels_cline_and_todd_sickafoose_a_ride_with_polly_jean_ali_farka_touche,August,2021
Why do cats have vertical pupils?,Emma Bryce,2300000,70000,https://ted.com/talks/emma_bryce_why_do_cats_have_vertical_pupils,January,2022
Why great leaders take humor seriously,Jennifer Aaker and Naomi Bagdonas,1000000,32000,https://ted.com/talks/jennifer_aaker_and_naomi_bagdonas_why_great_leaders_take_humor_seriously,August,2021
One company at a time,American Family Insurance,10000,312,https://ted.com/talks/american_family_insurance_one_company_at_a_time,January,2022
How comic strips create better health care,Sam Hester,880000,26000,https://ted.com/talks/sam_hester_how_comic_strips_create_better_health_care,June,2021
Why is it so hard to escape poverty?,Ann-Helén Bay,1500000,47000,https://ted.com/talks/ann_helen_bay_why_is_it_so_hard_to_escape_poverty,January,2022
"""You and I"" / ""Attention""",Charlie Puth,19000,580,https://ted.com/talks/charlie_puth_you_and_i_attention,October,2021
How to realistically decarbonize the oil and gas industry,Bjørn Otto Sverdrup,825000,24000,https://ted.com/talks/bjorn_otto_sverdrup_how_to_realistically_decarbonize_the_oil_and_gas_industry,October,2021
"I'm tired of people telling me to ""grind""",Pardis Parker,90000,2700,https://ted.com/talks/pardis_parker_i_m_tired_of_people_telling_me_to_grind,August,2021
How biochar removes CO2 from the air — and helps farmers thrive,Axel Reinaud,888000,26000,https://ted.com/talks/axel_reinaud_how_biochar_removes_co2_from_the_air_and_helps_farmers_thrive,September,2021
"The creativity, innovation and ingenuity languishing in US prisons",Brittany K. Barnett,839000,25000,https://ted.com/talks/brittany_k_barnett_the_creativity_innovation_and_ingenuity_languishing_in_us_prisons,November,2021
The architectural mastermind behind modern Singapore,Liu Thai Ker,951000,28000,https://ted.com/talks/liu_thai_ker_the_architectural_mastermind_behind_modern_singapore,March,2021
The myth of Loki's monstrous children,Iseult Gillespie,761000,22000,https://ted.com/talks/iseult_gillespie_the_myth_of_loki_s_monstrous_children,January,2022
"What makes a job ""good"" — and the case for investing in people",Warren Valdmanis,992000,29000,https://ted.com/talks/warren_valdmanis_what_makes_a_job_good_and_the_case_for_investing_in_people,September,2021
Language shouldn't be a barrier to climate action,Sophia Kianni,861000,25000,https://ted.com/talks/sophia_kianni_language_shouldn_t_be_a_barrier_to_climate_action,October,2021
Human-centered justice,American Family Insurance,11000,342,https://ted.com/talks/american_family_insurance_human_centered_justice,January,2022
Why is the Mona Lisa so famous?,Noah Charney,1100000,33000,https://ted.com/talks/noah_charney_why_is_the_mona_lisa_so_famous,January,2022
How moms shape the world,Anna Malaika Tubbs,864000,25000,https://ted.com/talks/anna_malaika_tubbs_how_moms_shape_the_world,December,2021
Why a free and fair internet is more vital than ever,Priscilla Chomba-Kinywa,1100000,33000,https://ted.com/talks/priscilla_chomba_kinywa_why_a_free_and_fair_internet_is_more_vital_than_ever,April,2021
It's time to write a new climate story, Countdown,11000,332,https://ted.com/talks/countdown_it_s_time_to_write_a_new_climate_story,October,2021
"Blood, concrete, and dynamite: Building the Hoover Dam",Alex Gendler,724000,21000,https://ted.com/talks/alex_gendler_blood_concrete_and_dynamite_building_the_hoover_dam,December,2021
4 ways the COVID-19 pandemic changed the way we sleep,Matt Walker,295000,8800,https://ted.com/talks/matt_walker_4_ways_the_covid_19_pandemic_changed_the_way_we_sleep,December,2021
You can only save one— who do you choose?,Doug MacKay,1300000,40000,https://ted.com/talks/doug_mackay_you_can_only_save_one_who_do_you_choose,December,2021
How to escape the cynicism trap,Jamil Zaki,1100000,33000,https://ted.com/talks/jamil_zaki_how_to_escape_the_cynicism_trap,August,2021
"Use your voice, vote and wallet for climate action",Halla Tómasdóttir,969000,29000,https://ted.com/talks/halla_tomasdottir_use_your_voice_vote_and_wallet_for_climate_action,December,2021
A king cobra bite — and a scientific discovery,Gowri Shankar,1000000,30000,https://ted.com/talks/gowri_shankar_a_king_cobra_bite_and_a_scientific_discovery,May,2021
How we could better predict and stop floods,Virginia Smith,986000,29000,https://ted.com/talks/virginia_smith_how_we_could_better_predict_and_stop_floods,March,2021
Dreams and details for a decarbonized future,Jim Hagemann Snabe,837000,25000,https://ted.com/talks/jim_hagemann_snabe_dreams_and_details_for_a_decarbonized_future,October,2021
The dark history of Mount Rushmore,Ned Blackhawk and Jeffrey D. Means,527000,15000,https://ted.com/talks/ned_blackhawk_and_jeffrey_d_means_the_dark_history_of_mount_rushmore,December,2021
"Siri, Alexa, Google ... what comes next?",Karen Lellouche Tordjman,1000000,32000,https://ted.com/talks/karen_lellouche_tordjman_siri_alexa_google_what_comes_next,September,2021
A new way to help young people with their mental health,Tom Osborn,1000000,32000,https://ted.com/talks/tom_osborn_a_new_way_to_help_young_people_with_their_mental_health,August,2021
How to deal with your insomnia — and finally get to sleep,Matt Walker,311000,9300,https://ted.com/talks/matt_walker_how_to_deal_with_your_insomnia_and_finally_get_to_sleep,December,2021
Would you raise the bird that murdered your children?,Steve Rothstein,1200000,37000,https://ted.com/talks/steve_rothstein_would_you_raise_the_bird_that_murdered_your_children,December,2021
A vision of sustainable housing for all of humanity,Vishaan Chakrabarti,1000000,30000,https://ted.com/talks/vishaan_chakrabarti_a_vision_of_sustainable_housing_for_all_of_humanity,October,2021
"""Your Song"" / ""Real Life""", Joan As Police Woman,3800,115,https://ted.com/talks/joan_as_police_woman_your_song_real_life,August,2021
3 ways to prepare society for the next pandemic,Jennifer B. Nuzzo,1100000,33000,https://ted.com/talks/jennifer_b_nuzzo_3_ways_to_prepare_society_for_the_next_pandemic,December,2021
The need for family reunification — to make families whole again,Elizabeth Zion,1000000,31000,https://ted.com/talks/elizabeth_zion_the_need_for_family_reunification_to_make_families_whole_again,December,2021
Education is a fundamental right for every child,Makhtoum Abdalla,1000000,32000,https://ted.com/talks/makhtoum_abdalla_education_is_a_fundamental_right_for_every_child,December,2021
The life-changing power of assistive technologies,Jane Velkovski,1000000,31000,https://ted.com/talks/jane_velkovski_the_life_changing_power_of_assistive_technologies,December,2021
How to protect your mental well-being online — from a Gen-Zer,Peachy Liv,981000,29000,https://ted.com/talks/peachy_liv_how_to_protect_your_mental_well_being_online_from_a_gen_zer,December,2021
A next-generation solution to climate crisis,Nkosilathi Nyathi,200000,6000,https://ted.com/talks/nkosilathi_nyathi_a_next_generation_solution_to_climate_crisis,December,2021
"""Astral Plane""",Valerie June,2500,76,https://ted.com/talks/valerie_june_astral_plane,October,2021
5 keys to shifting to a well-being economy — and the cost of inaction,Sandrine Dixson-Declève,4900,147,https://ted.com/talks/sandrine_dixson_decleve_5_keys_to_shifting_to_a_well_being_economy_and_the_cost_of_inaction,October,2021
3 ways to lower the barriers to higher education,Adrian K. Haugabrook,1100000,34000,https://ted.com/talks/adrian_k_haugabrook_3_ways_to_lower_the_barriers_to_higher_education,August,2021
How one of the most profitable companies in history rose to power,Adam Clulow,635000,19000,https://ted.com/talks/adam_clulow_how_one_of_the_most_profitable_companies_in_history_rose_to_power,December,2021
How going to Mars improves life on Earth,Eric Hinterman,1000000,32000,https://ted.com/talks/eric_hinterman_how_going_to_mars_improves_life_on_earth,May,2021
Africans should lead on health care solutions for Africa,Francisca Mutapi,4000,120,https://ted.com/talks/francisca_mutapi_africans_should_lead_on_health_care_solutions_for_africa,December,2021
The end of Roe v. Wade — and what comes next for reproductive freedom,Kathryn Kolbert,1000000,32000,https://ted.com/talks/kathryn_kolbert_the_end_of_roe_v_wade_and_what_comes_next_for_reproductive_freedom,December,2021
4 steps to hiring fairly — and supporting criminal justice reform,Nyra Jordan,1100000,33000,https://ted.com/talks/nyra_jordan_4_steps_to_hiring_fairly_and_supporting_criminal_justice_reform,November,2021
How sleep affects what (and how much) you eat,Matt Walker,315000,9400,https://ted.com/talks/matt_walker_how_sleep_affects_what_and_how_much_you_eat,December,2021
"Yes, scientists are actually building an elevator to space",Fabio Pacucci,714000,21000,https://ted.com/talks/fabio_pacucci_yes_scientists_are_actually_building_an_elevator_to_space,December,2021
How to end the pandemic — and prepare for the next,Maria Van Kerkhove,1200000,36000,https://ted.com/talks/maria_van_kerkhove_how_to_end_the_pandemic_and_prepare_for_the_next,December,2021
3 questions to build resilience — and change the world,Sister True Dedication,1200000,38000,https://ted.com/talks/sister_true_dedication_3_questions_to_build_resilience_and_change_the_world,October,2021
Community investment is the missing piece of climate action,Dawn Lippert,1000000,32000,https://ted.com/talks/dawn_lippert_community_investment_is_the_missing_piece_of_climate_action,October,2021
The dream of educating Afghan girls lives on,Shabana Basij-Rasikh,1400000,44000,https://ted.com/talks/shabana_basij_rasikh_the_dream_of_educating_afghan_girls_lives_on,December,2021
How gratitude rewires your brain,Christina Costa,1400000,44000,https://ted.com/talks/christina_costa_how_gratitude_rewires_your_brain,March,2021
Can stereotypes ever be good?,Sheila Marie Orfano and Densho,475000,14000,https://ted.com/talks/sheila_marie_orfano_and_densho_can_stereotypes_ever_be_good,December,2021
The value of kindness at work,James Rhee,1300000,41000,https://ted.com/talks/james_rhee_the_value_of_kindness_at_work,September,2021
What is melatonin — and should you take it to fall asleep?,Matt Walker,422000,12000,https://ted.com/talks/matt_walker_what_is_melatonin_and_should_you_take_it_to_fall_asleep,December,2021
The life cycle of a pair of jeans,Madhavi Venkatesan,315000,9400,https://ted.com/talks/madhavi_venkatesan_the_life_cycle_of_a_pair_of_jeans,November,2021
Is it really that bad to marry my cousin?,Mona Chalabi,277000,8300,https://ted.com/talks/mona_chalabi_is_it_really_that_bad_to_marry_my_cousin,November,2021
It's impossible to have healthy people on a sick planet,Shweta Narayan,1200000,36000,https://ted.com/talks/shweta_narayan_it_s_impossible_to_have_healthy_people_on_a_sick_planet,October,2021
The surprising health benefits of dreaming,Matt Walker,357000,10000,https://ted.com/talks/matt_walker_the_surprising_health_benefits_of_dreaming,November,2021
"Dear world leaders, these are our climate demands","Xiye Bastida, Shiv Soin and Latif Nasser",260000,7800,https://ted.com/talks/xiye_bastida_shiv_soin_and_latif_nasser_dear_world_leaders_these_are_our_climate_demands,October,2021
The science of extreme weather — and how to reduce the harm,"Al Roker, Al Gore, David Biello and Latif Nasser",331000,9900,https://ted.com/talks/al_roker_al_gore_david_biello_and_latif_nasser_the_science_of_extreme_weather_and_how_to_reduce_the_harm,October,2021
The wild sex lives of marine creatures,Luka Seamus Wright,543000,16000,https://ted.com/talks/luka_seamus_wright_the_wild_sex_lives_of_marine_creatures,November,2021
The forest is our teacher. It's time to respect it,Nemonte Nenquimo,1000000,32000,https://ted.com/talks/nemonte_nenquimo_the_forest_is_our_teacher_it_s_time_to_respect_it,October,2021
How accurate is the weather forecast?,Mona Chalabi,237000,7100,https://ted.com/talks/mona_chalabi_how_accurate_is_the_weather_forecast,November,2021
An action plan for solving the climate crisis,John Doerr and Ryan Panchadsaram,1200000,36000,https://ted.com/talks/john_doerr_and_ryan_panchadsaram_an_action_plan_for_solving_the_climate_crisis,October,2021
The science of preserving sight,Joshua Chu-Tan,1200000,36000,https://ted.com/talks/joshua_chu_tan_the_science_of_preserving_sight,August,2019
Can you solve the human cannonball riddle? ,Alex Rosenthal,441000,13000,https://ted.com/talks/alex_rosenthal_can_you_solve_the_human_cannonball_riddle,November,2021
Can climate change ever be funny? 17 comedians try to answer,Rainn Wilson,7100,214,https://ted.com/talks/rainn_wilson_can_climate_change_ever_be_funny_17_comedians_try_to_answer,October,2021
Your self-driving robotaxi is almost here,Aicha Evans,1300000,40000,https://ted.com/talks/aicha_evans_your_self_driving_robotaxi_is_almost_here,August,2021
Nature's fortress: How cacti keep water in and predators out,Lucas C. Majure,463000,13000,https://ted.com/talks/lucas_c_majure_nature_s_fortress_how_cacti_keep_water_in_and_predators_out,November,2021
A program to empower Black teachers in the US,Larry Irvin,1200000,37000,https://ted.com/talks/larry_irvin_a_program_to_empower_black_teachers_in_the_us,September,2021
An ever-evolving map of everything on Earth,Jack Dangermond,1200000,36000,https://ted.com/talks/jack_dangermond_an_ever_evolving_map_of_everything_on_earth,October,2021
Are naps actually good for us?,Matt Walker,485000,14000,https://ted.com/talks/matt_walker_are_naps_actually_good_for_us,November,2021
"""I Can See Clearly Now""","Tyrone Davis, Jr.",6200,186,https://ted.com/talks/tyrone_davis_jr_i_can_see_clearly_now,August,2021
"""Back on My Feet""", Kimberose,3000,91,https://ted.com/talks/kimberose_back_on_my_feet,September,2021
How to make a sad story funny,Jodie Houlston-Lau,340000,10000,https://ted.com/talks/jodie_houlston_lau_how_to_make_a_sad_story_funny,November,2021
The crucial intersection of climate and capital,Nili Gilbert,1200000,37000,https://ted.com/talks/nili_gilbert_the_crucial_intersection_of_climate_and_capital,October,2021
Which box do I check?,Mona Chalabi,227000,6800,https://ted.com/talks/mona_chalabi_which_box_do_i_check,November,2021
3 steps to getting what you want in a negotiation,Ruchi Sinha,1900000,57000,https://ted.com/talks/ruchi_sinha_3_steps_to_getting_what_you_want_in_a_negotiation,November,2021
Tracking the whole world's carbon emissions — with satellites and AI,Gavin McCormick,1300000,39000,https://ted.com/talks/gavin_mccormick_tracking_the_whole_world_s_carbon_emissions_with_satellites_and_ai,October,2021
The rise of predatory scams — and how to prevent them,Jane Walsh,1300000,39000,https://ted.com/talks/jane_walsh_the_rise_of_predatory_scams_and_how_to_prevent_them,June,2021
The twins who tricked the Maya gods of death,Ilan Stavans,860000,25000,https://ted.com/talks/ilan_stavans_the_twins_who_tricked_the_maya_gods_of_death,November,2021
"""Being Human""",Naima Penniman,1200000,36000,https://ted.com/talks/naima_penniman_being_human,October,2021
Leave only footprints that will wash away,Children of Palau,205000,6100,https://ted.com/talks/children_of_palau_leave_only_footprints_that_will_wash_away,October,2021
The many reasons to eat a plant-based diet,Derek Sarno,1000000,32000,https://ted.com/talks/derek_sarno_the_many_reasons_to_eat_a_plant_based_diet,October,2021
The powerful women on the front lines of climate action,Farwiza Farhan,1000000,32000,https://ted.com/talks/farwiza_farhan_the_powerful_women_on_the_front_lines_of_climate_action,October,2021
A bold plan to protect 30 percent of the Earth's surface and ocean floor,Enric Sala,1000000,30000,https://ted.com/talks/enric_sala_a_bold_plan_to_protect_30_percent_of_the_earth_s_surface_and_ocean_floor,October,2021
A vision for sustainable energy in Africa,Chibeze Ezekiel,221000,6600,https://ted.com/talks/chibeze_ezekiel_a_vision_for_sustainable_energy_in_africa,October,2021
"How your brain invents your ""self""",Anil Seth,1500000,47000,https://ted.com/talks/anil_seth_how_your_brain_invents_your_self,October,2021
Why better sleep means a better sex life,Matt Walker,463000,13000,https://ted.com/talks/matt_walker_why_better_sleep_means_a_better_sex_life,November,2021
Why do some people snore so loudly?,Alayna Vaughan,406000,12000,https://ted.com/talks/alayna_vaughan_why_do_some_people_snore_so_loudly,November,2021
How small countries can make a big impact on climate change,Nicola Sturgeon,1200000,38000,https://ted.com/talks/nicola_sturgeon_how_small_countries_can_make_a_big_impact_on_climate_change,October,2021
How did we get fertility so wrong?,Mona Chalabi,276000,8200,https://ted.com/talks/mona_chalabi_how_did_we_get_fertility_so_wrong,November,2021
"Super speed, magnetic levitation and the vision behind the hyperloop",Josh Giegel,1300000,39000,https://ted.com/talks/josh_giegel_super_speed_magnetic_levitation_and_the_vision_behind_the_hyperloop,August,2021
What working parents really need from workplaces,Angela Garbes,1200000,36000,https://ted.com/talks/angela_garbes_what_working_parents_really_need_from_workplaces,November,2021
The creative power of your intuition,Bozoma Saint John,1400000,42000,https://ted.com/talks/bozoma_saint_john_the_creative_power_of_your_intuition,August,2021
Are locust plagues unstoppable?,Jeffrey A. Lockwood,475000,14000,https://ted.com/talks/jeffrey_a_lockwood_are_locust_plagues_unstoppable,November,2021
A tailored history of who wears what — and why,Richard Thompson Ford,1300000,39000,https://ted.com/talks/richard_thompson_ford_a_tailored_history_of_who_wears_what_and_why,September,2021
The problem of vaccine spoilage — and a smart sensor to help,Nithya Ramanathan,1400000,42000,https://ted.com/talks/nithya_ramanathan_the_problem_of_vaccine_spoilage_and_a_smart_sensor_to_help,August,2021
"How daylight saving time affects our bodies, minds — and world",Matt Walker,368000,11000,https://ted.com/talks/matt_walker_how_daylight_saving_time_affects_our_bodies_minds_and_world,November,2021
How to make radical climate action the new normal,Al Gore,1500000,47000,https://ted.com/talks/al_gore_how_to_make_radical_climate_action_the_new_normal,October,2021
"How to get better at video games, according to babies",Brian Christian,486000,14000,https://ted.com/talks/brian_christian_how_to_get_better_at_video_games_according_to_babies,November,2021
What we miss when we focus on the average,Mona Chalabi,355000,10000,https://ted.com/talks/mona_chalabi_what_we_miss_when_we_focus_on_the_average,November,2021
3 rules to help you build a successful business,Julissa Prado,1400000,42000,https://ted.com/talks/julissa_prado_3_rules_to_help_you_build_a_successful_business,November,2021
What is COP26?,Countdown,256000,7700,https://ted.com/talks/countdown_what_is_cop26,October,2021
Countdown Global Livestream 2021,TED,6100000,183000,https://ted.com/talks/ted_countdown_global_livestream_2021,October,2021
The 55 gigaton challenge,Countdown,269000,8000,https://ted.com/talks/countdown_the_55_gigaton_challenge,October,2021
The haunting truth of ghost stories,Coya Paz Brownrigg,1100000,33000,https://ted.com/talks/coya_paz_brownrigg_the_haunting_truth_of_ghost_stories,May,2021
A new perspective on the journey to net-zero,Amina J. Mohammed,1300000,41000,https://ted.com/talks/amina_j_mohammed_a_new_perspective_on_the_journey_to_net_zero,October,2021
The fastest way to slow climate change now,Ilissa Ocko,1500000,46000,https://ted.com/talks/ilissa_ocko_the_fastest_way_to_slow_climate_change_now,October,2021
AI isn't as smart as you think — but it could be,Jeff Dean,1400000,42000,https://ted.com/talks/jeff_dean_ai_isn_t_as_smart_as_you_think_but_it_could_be,August,2021
"The Norse myth that inspired ""The Lord of the Rings""",Iseult Gillespie,1500000,45000,https://ted.com/talks/iseult_gillespie_the_norse_myth_that_inspired_the_lord_of_the_rings,October,2021
How to turn around a city,Irma L. Olguin Jr.,1200000,38000,https://ted.com/talks/irma_l_olguin_jr_how_to_turn_around_a_city,August,2021
Stuck in the gig economy? Try platform co-ops instead,Trebor Scholz,1300000,41000,https://ted.com/talks/trebor_scholz_stuck_in_the_gig_economy_try_platform_co_ops_instead,August,2021
"""The [Uncertain] Four Seasons""",AKQA and Jung von Matt,5300,161,https://ted.com/talks/akqa_and_jung_von_matt_the_uncertain_four_seasons,October,2021
The surprisingly long history of electric cars,Daniel Sperling and Gil Tal,367000,11000,https://ted.com/talks/daniel_sperling_and_gil_tal_the_surprisingly_long_history_of_electric_cars,October,2021
Can China achieve its ambitious climate pledges?,Hongqiao Liu,1300000,39000,https://ted.com/talks/hongqiao_liu_can_china_achieve_its_ambitious_climate_pledges,October,2021
Do 9 out of 10 dentists really recommend that toothpaste?,Mona Chalabi,154000,4600,https://ted.com/talks/mona_chalabi_do_9_out_of_10_dentists_really_recommend_that_toothpaste,October,2021
What to expect from COP26,Countdown Summit,28000,854,https://ted.com/talks/countdown_summit_what_to_expect_from_cop26,October,2021
Visions for the future,Kai-Fu Lee and Chen Qiufan,1100000,33000,https://ted.com/talks/kai_fu_lee_and_chen_qiufan_visions_for_the_future,September,2021
How to reduce bias in your workplace,Kim Scott and Trier Bryant,1100000,34000,https://ted.com/talks/kim_scott_and_trier_bryant_how_to_reduce_bias_in_your_workplace,October,2021
3 tips for leaders to get the future of work right ,Debbie Lovich,1400000,43000,https://ted.com/talks/debbie_lovich_3_tips_for_leaders_to_get_the_future_of_work_right,September,2021
How your nature photos can help protect wild animals,Tanya Berger-Wolf,1200000,36000,https://ted.com/talks/tanya_berger_wolf_how_your_nature_photos_can_help_protect_wild_animals,March,2016
"Why is this 2,500 year old shipwreck so well-preserved?",Helen Farr and Jon Adams,414000,12000,https://ted.com/talks/helen_farr_and_jon_adams_why_is_this_2_500_year_old_shipwreck_so_well_preserved,October,2021
A close-to-home solution for accessible childcare,Chris Bennett,1400000,43000,https://ted.com/talks/chris_bennett_a_close_to_home_solution_for_accessible_childcare,August,2021
What makes a friendship last? ,Mona Chalabi,286000,8500,https://ted.com/talks/mona_chalabi_what_makes_a_friendship_last,October,2021
How much clean electricity do we really need?,Solomon Goldstein-Rose,1400000,42000,https://ted.com/talks/solomon_goldstein_rose_how_much_clean_electricity_do_we_really_need,October,2021
Can you solve the risky disk riddle?,James Tanton,578000,17000,https://ted.com/talks/james_tanton_can_you_solve_the_risky_disk_riddle,October,2021
How we could eat real meat without harming animals,Isha Datar,1700000,51000,https://ted.com/talks/isha_datar_how_we_could_eat_real_meat_without_harming_animals,August,2021
